Country;Year;Agricultural methane emissions (% of total);Agricultural methane emissions (thousand metric tons of CO2 equivalent);Agricultural nitrous oxide emissions (% of total);Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);Agriculture, forestry, and fishing, value added (current US$);Changes in inventories (current US$);CO2 emissions (kg per 2015 US$ of GDP);CO2 emissions (kg per 2017 PPP $ of GDP);CO2 emissions (kg per PPP $ of GDP);CO2 emissions (kt);CO2 emissions (metric tons per capita);CO2 emissions from electricity and heat production, total (% of total fuel combustion);CO2 emissions from gaseous fuel consumption (% of total);CO2 emissions from gaseous fuel consumption (kt);CO2 emissions from liquid fuel consumption (% of total);CO2 emissions from liquid fuel consumption (kt);CO2 emissions from manufacturing industries and construction (% of total fuel combustion);CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from solid fuel consumption (% of total);CO2 emissions from solid fuel consumption (kt);CO2 emissions from transport (% of total fuel combustion);CO2 intensity (kg per kg of oil equivalent energy use);Energy related methane emissions (% of total);Exports of goods and services (current US$);External balance on goods and services (current US$);Final consumption expenditure (current US$);GDP (current US$);GDP per capita (current US$);General government final consumption expenditure (current US$);GHG net emissions/removals by LUCF (Mt of CO2 equivalent);GNI (current US$);Gross capital formation (current US$);Gross domestic savings (current US$);Gross fixed capital formation (current US$);Gross national expenditure (current US$);Gross savings (current US$);Gross value added at basic prices (GVA) (current US$);HFC gas emissions (thousand metric tons of CO2 equivalent);Households and NPISHs Final consumption expenditure (current US$);Imports of goods and services (current US$);Industry (including construction), value added (current US$);Manufacturing, value added (current US$);Methane emissions (% change from 1990);Methane emissions (kt of CO2 equivalent);Methane emissions in energy sector (thousand metric tons of CO2 equivalent);Net primary income (Net income from abroad) (current US$);Net secondary income (Net current transfers from abroad) (current US$);Nitrous oxide emissions (% change from 1990);Nitrous oxide emissions (thousand metric tons of CO2 equivalent);Nitrous oxide emissions in energy sector (% of total);Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent);Other greenhouse gas emissions (% change from 1990);Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent);PFC gas emissions (thousand metric tons of CO2 equivalent);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total);Services, value added (current US$);SF6 gas emissions (thousand metric tons of CO2 equivalent);Taxes less subsidies on products (current US$);Total greenhouse gas emissions (% change from 1990);Total greenhouse gas emissions (kt of CO2 equivalent)
Zambia;2015;65.67342397;;72.84749916;;2.47E+08;;;;;;;6.642066421;0;0;55.2238806;1492.469;53.50553506;4.05904059;7.749077491;37.99185889;1026.76;28.04428044;0.516790862;6.082670804;;;;2.27E+09;319.265949;;;1.92E+09;;;;;;2.05E+09;;;;9.32E+08;5.83E+08;;;;-3.44E+08;-3.00E+07;;;0.437440589;;;128946.0937;;;;;;;8.68E+08;;2.19E+08;;
Zimbabwe;2015;78.83151141;;87.39773348;;8.85E+08;-7.94E+07;;;;;;48.54166667;0;0;11.95861405;1822.499;23.40277778;8.472222222;5.069444444;85.3705486;13010.516;14.51388889;1.782384673;12.14470383;1.62E+09;1.85E+08;5.55E+09;6.74E+09;726.6207297;1.58E+09;;5.36E+09;1.01E+09;1.19E+09;1.09E+09;6.56E+09;-1.28E+08;6.14E+09;;3.97E+09;1.43E+09;1.99E+09;1.39E+09;;;;-1.38E+09;;;;3.473580384;;;-2685.186108;;;;;;;3.26E+09;;6.01E+08;;
Africa Eastern and Southern;2015;;;;;3.08E+10;;;;;;;54.69913831;;;;73096.30548;24.35008033;2.588724989;4.155104425;;435922.7508;14.21060318;2.078187101;;4.68E+10;;1.40E+11;1.87E+11;656.1152248;2.90E+10;;1.73E+11;;4.64E+10;;1.71E+11;;1.70E+11;;1.13E+11;;5.33E+10;3.01E+10;;;;;;;;;;;1294200.334;;;;;;;8.09E+10;;;;
Africa Western and Central;2015;;;;;2.73E+10;;;;;;;26.11377656;;8873.205951;;52995.484;11.14918894;2.53598355;16.26684944;;;43.88850811;1.017644747;;2.23E+10;;7.38E+10;1.11E+11;580.4615947;9.04E+09;;1.06E+11;3.81E+10;3.69E+10;3.84E+10;1.12E+11;;1.08E+11;;6.03E+10;2.14E+10;3.40E+10;1.75E+10;;;;;;;;;;;349616.0379;;;;;;;5.04E+10;;;;
Arab World;2015;;;;;4.52E+10;;;;;;;43.51655747;;186735.4447;;386284.8532;19.56612102;2.982917994;6.605174086;;;27.3312088;2.998065336;;;;3.90E+11;4.41E+11;2119.384687;1.11E+11;;4.84E+11;9.44E+10;5.02E+10;1.20E+11;4.54E+11;;4.41E+11;;2.79E+11;;1.56E+11;5.07E+10;;;;;;;;;;;26131.53195;;;;;;;2.13E+11;;;;
Caribbean small states;2015;;;;;1.01E+09;;;;;;;51.30581297;;;;14125.284;19.9663016;2.780117944;3.454085931;;;22.40943555;3.365403587;;;;;1.55E+10;2613.338979;;;1.43E+10;;;;;;1.37E+10;;;;4.99E+09;;;;;;;;;;;;19652.35052;;;;;;;;;;;
Central Europe and the Baltics;2015;;;;;;;;;;;;46.73858698;;;;272034.818;24.32694896;6.704549825;16.86665897;;768006.9052;5.328641206;3.233543676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121627.5796;;;;;;;;;;;
Early-demographic dividend;2015;;;;;2.39E+11;;;;;;;39.72073678;;430339.5927;;1242573.586;23.65076488;3.226683586;10.79639868;;838432.7559;22.60541608;2.347256505;;2.49E+11;;1.18E+12;1.50E+12;786.6382237;2.10E+11;;1.43E+12;3.08E+11;3.13E+11;3.20E+11;1.46E+12;;1.37E+12;;9.72E+11;2.53E+11;4.38E+11;2.45E+11;;;;;;;;;;;2312315.944;;;;;;;6.73E+11;;;;
East Asia & Pacific;2015;;;;;2.31E+11;;;;;;;33.6849562;;199910.162;;1330957.364;33.19790294;4.837180328;15.36822549;;2529355.758;12.91228631;2.728318833;;5.93E+11;;2.40E+12;3.62E+12;2085.804177;5.00E+11;;3.61E+12;1.14E+12;1.22E+12;1.11E+12;3.54E+12;;;;1.90E+12;4.91E+11;1.20E+12;;;;;;;;;;;;2272641.554;;;;;;;;;;;
East Asia & Pacific (excluding high income);2015;;;;;1.32E+11;;;;;;;28.82970372;;70414.44227;;521275.8114;39.8542405;6.151214133;16.81362116;;1978514.444;8.351674283;2.778398405;;9.47E+10;;3.30E+11;5.19E+11;340.71221;5.95E+10;;4.79E+11;1.56E+11;1.89E+11;1.33E+11;4.85E+11;;;;2.70E+11;9.33E+10;2.03E+11;;;;;;;;;;;;2258625.382;;;;;;;1.96E+11;;;;
East Asia & Pacific (IDA & IBRD countries);2015;;;;;1.32E+11;;;;;;;29.69558994;;70325.72244;;506345.8283;38.2769949;5.60070315;17.77230243;;1821223.325;8.654409575;2.6906874;;9.46E+10;;3.30E+11;5.18E+11;344.790423;5.95E+10;;4.78E+11;1.56E+11;1.89E+11;1.32E+11;4.85E+11;;;;2.70E+11;9.31E+10;2.03E+11;;;;;;;;;;;;2252660.734;;;;;;;1.96E+11;;;;
Euro area;2015;;;;;;;;;;;;35.73140893;;;;;20.06799774;2.98315323;21.57525344;;;19.62609496;;;9.89E+11;;3.24E+12;4.16E+12;13531.63259;8.43E+11;;4.20E+12;9.36E+11;9.21E+11;9.25E+11;4.17E+12;;3.80E+12;;2.40E+12;9.97E+11;;;;;;;;;;;;;257537.2419;;;;;;;;;;;
Europe & Central Asia;2015;;;;;;;;;;;;38.90936631;;2140530.303;;3453121.408;20.38191172;3.872108346;20.14649953;;;16.68073512;2.551990533;;1.59E+12;;5.03E+12;6.42E+12;7757.470611;1.27E+12;;6.50E+12;1.51E+12;1.39E+12;1.48E+12;6.52E+12;;5.83E+12;;3.76E+12;1.60E+12;;;;;;;;;;;;;205382.2599;;;;;;;;;;;
Europe & Central Asia (excluding high income);2015;;;;;;;;;;;;37.99084088;;1585890.661;;1976478.89;20.45210952;13.21738283;13.77277599;;2973034.715;14.56689077;2.847498149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66891.14725;;;;;;;;;;;
Europe & Central Asia (IDA & IBRD countries);2015;;;;;;;;;;;;48.77306471;;1681877.083;;2075902.916;20.64067983;7.547800349;15.79738859;;3279166.09;7.23987301;3.202380088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-104009.5149;;;;;;;;;;;
European Union;2015;;;;;;;;;;;;39.00319878;;;;;21.01120142;4.057669103;20.09966305;;;15.81716868;2.527370888;;1.13E+12;;3.61E+12;4.63E+12;11126.7333;9.54E+11;;4.66E+12;1.05E+12;1.02E+12;1.04E+12;4.67E+12;;4.24E+12;;2.66E+12;1.14E+12;;;;;;;;;;;;;226502.8053;;;;;;;;;;;
Fragile and conflict affected situations;2015;;;;;7.53E+10;;;;;;;35.33936471;;115562.021;;234239.2105;18.01841298;3.957594357;8.835837551;;;33.8527759;1.59995896;;;;3.03E+11;3.66E+11;813.7941563;;;4.03E+11;;6.30E+10;;;;3.87E+11;;2.41E+11;;;;;;;;;;;;;;2147722.801;;;;;;;;;;;
Heavily indebted poor countries (HIPC);2015;;;;;4.43E+10;;;;;;;17.62485482;;;;53737.54501;18.1475029;8.768873403;11.12078978;;;44.3960511;0.491669617;;2.17E+10;;1.16E+11;1.30E+11;394.6450029;1.71E+10;;1.26E+11;;1.46E+10;;;;;;9.88E+10;3.22E+10;2.57E+10;;;;;;;;;;;;1813766.571;;;;;;;5.41E+10;;;;
High income;2015;;;;;;;;;;;;40.55992175;;1842565.669;;5026338.557;18.31489618;2.396352778;15.35605397;;4220659.595;23.3693579;2.542641715;;2.51E+12;;1.09E+13;1.43E+13;14264.52522;2.52E+12;;1.44E+13;3.60E+12;3.41E+12;3.56E+12;1.45E+13;;1.36E+13;;8.42E+12;2.55E+12;;;;;;;;;;;;;223007.7291;;;;;;;;;;;
IBRD only;2015;;;;;4.59E+11;;;;;;;35.94400679;;1882345.946;;3324335.4;29.98774196;5.088039835;14.63724454;;5342682.766;14.34254345;2.624739396;;4.92E+11;;2.14E+12;2.84E+12;866.3092997;4.05E+11;;2.74E+12;6.94E+11;7.02E+11;6.71E+11;2.82E+12;;;;1.73E+12;4.61E+11;1.02E+12;;;;;;;;;;;;2657640.73;;;;;;;1.10E+12;;;;
IDA & IBRD total;2015;;;;;5.56E+11;;;;;;;35.62256579;;2039066.608;;3507450.8;29.70382812;5.160836817;14.54948935;;5464225.844;14.96327992;2.457577727;;5.44E+11;;2.40E+12;3.17E+12;778.1543402;4.48E+11;;3.06E+12;7.69E+11;7.73E+11;7.52E+11;3.12E+12;;;;1.95E+12;5.32E+11;1.10E+12;;;;;;;;;;;;5136001.401;;;;;;;1.24E+12;;;;
IDA blend;2015;;;;;3.05E+10;;;;;;;28.42593526;;;;81171.09872;22.55722497;3.085610568;13.93566603;;31044.92759;31.99556317;1.133271326;;2.26E+10;;8.80E+10;1.34E+11;515.5707845;1.66E+10;;1.29E+11;4.75E+10;4.60E+10;4.64E+10;1.35E+11;;1.29E+11;;7.12E+10;2.13E+10;3.76E+10;2.10E+10;;;;;;;;;;;78715.59671;;;;;;;5.92E+10;;;;
IDA only;2015;;;;;6.54E+10;;;;;;;24.31862883;;;;97917.62881;20.82045518;12.88283226;9.581343074;;;32.42483844;0.789457061;;;;1.86E+11;1.97E+11;365.7805099;;;2.03E+11;;1.14E+10;;;;;;1.63E+11;;;;;;;;;;;;;;2399645.075;;;;;;;8.98E+10;;;;
IDA total;2015;;;;;9.53E+10;;;;;;;26.70971529;;;;180598.0345;21.83152333;7.17933666;12.11623129;;55135.02497;32.17493396;0.962870133;;5.43E+10;;2.67E+11;3.31E+11;414.1210038;4.38E+10;;3.35E+11;7.97E+10;6.45E+10;8.23E+10;3.11E+11;;3.30E+11;;2.23E+11;7.22E+10;7.67E+10;3.96E+10;;;;;;;;;;;2478360.671;;;;;;;1.52E+11;;;;
Late-demographic dividend;2015;;;;;2.53E+11;;;;;;;33.34435537;;1418369.981;;2202639.779;34.65857691;6.169635337;15.70015909;;4477940.165;10.12883302;2.804043721;;3.22E+11;;1.17E+12;1.63E+12;919.463755;2.40E+11;;1.56E+12;4.19E+11;4.55E+11;3.82E+11;1.58E+12;;;;9.34E+11;2.99E+11;6.45E+11;;;;;;;;;;;;1503285.072;;;;;;;5.48E+11;;;;
Latin America & Caribbean;2015;;;;;7.56E+10;;;;;;;29.67465818;;163517.2486;;670531.4961;24.09195925;3.786185913;9.135325531;;79996.27857;33.31692106;2.183176187;;1.35E+11;;6.33E+11;8.21E+11;1968.619328;9.16E+10;;7.89E+11;1.72E+11;1.88E+11;1.64E+11;8.05E+11;;7.55E+11;;5.41E+11;1.21E+11;2.93E+11;1.96E+11;;;;;;;;;;;1319497.536;;;;;;;3.80E+11;;;;
Latin America & Caribbean (excluding high income);2015;;;;;6.84E+10;;;;;;;28.74602677;;107150.42;;572609.384;23.91547656;4.357493546;9.623793109;;72700.89436;33.36467147;2.09602189;;9.61E+10;;5.40E+11;6.99E+11;1867.259098;7.70E+10;;6.79E+11;1.47E+11;1.59E+11;1.42E+11;6.87E+11;;6.43E+11;;4.63E+11;8.31E+10;2.46E+11;1.69E+11;;;;;;;;;;;1273863.859;;;;;;;3.19E+11;;;;
Latin America & the Caribbean (IDA & IBRD countries);2015;;;;;7.18E+10;;;;;;;29.33354566;;160843.8069;;623070.971;23.66563155;3.575125408;9.277543329;;78508.79644;34.15213525;2.184933161;;1.11E+11;;5.85E+11;7.64E+11;1897.811148;7.90E+10;;7.40E+11;1.62E+11;1.79E+11;1.53E+11;7.46E+11;;7.01E+11;;5.05E+11;9.47E+10;2.78E+11;1.84E+11;;;;;;;;;;;1317445.232;;;;;;;3.56E+11;;;;
Least developed countries: UN classification;2015;;;;;;;;;;;;25.5819652;;;;47944.07397;19.77456506;8.576329331;11.34525852;;;34.72188189;0.467953037;;;;;1.33E+11;278.0734955;;;1.27E+11;;;;;;;;;;;;;;;;;;;;;;2285802.158;;;;;;;;;;;
Low & middle income;2015;;;;;5.39E+11;;;;;;;32.59189825;;1882065.062;;3363047.735;32.23533024;5.527618321;14.0252412;;5132138.37;15.62084237;2.407129813;;5.09E+11;;2.26E+12;3.01E+12;751.8770568;4.23E+11;;2.91E+12;7.31E+11;7.51E+11;7.19E+11;2.94E+12;;;;1.84E+12;4.98E+11;1.03E+12;;;;;;;;;;;;5135464.912;;;;;;;1.16E+12;;;;
Low income;2015;;;;;3.60E+10;;;;;;;15.54796192;;;;70819.20467;55.07688553;16.40224555;2.178423237;;;10.83109592;2.334845057;;;;;1.09E+11;405.9135082;;;;;;;;;;;;;;;;;;;;;;;;;1364211.342;;;;;;;;;;;
Lower middle income;2015;;;;;2.09E+11;;;;;;;35.55182825;;364897.6477;;683394.3451;26.57305794;3.898020798;13.6713471;;680341.35;20.30191211;1.778732857;;1.27E+11;;7.02E+11;8.87E+11;515.6304829;1.28E+11;;8.62E+11;2.22E+11;1.85E+11;2.33E+11;9.22E+11;;8.10E+11;;5.76E+11;1.39E+11;2.50E+11;1.64E+11;;;;;;;;;;;2198387.931;;;;;;;3.51E+11;;;;
Middle East & North Africa;2015;;;;;;;;;;;;39.64730382;;212792.7389;;507307.835;19.54746186;4.063095396;10.58531614;;;26.15829973;3.059545503;;;;4.80E+11;6.19E+11;2651.677354;1.37E+11;;6.15E+11;1.21E+11;1.39E+11;1.43E+11;5.74E+11;;;;3.45E+11;;;;;;;;;;;;;;18469.17817;;;;;;;;;;;
Middle East & North Africa (excluding high income);2015;;;;;;;;;;;;32.65092387;;98712.55228;;317668.2639;20.58948208;4.433583522;16.69949879;;19339.61904;25.62651173;3.131573785;;6.90E+10;;3.06E+11;3.90E+11;1871.147088;8.12E+10;;;;8.40E+10;9.00E+10;3.74E+11;;;;2.29E+11;7.15E+10;;;;;;;;;;;;;10803.38283;;;;;;;;;;;
Middle East & North Africa (IDA & IBRD countries);2015;;;;;;;;;;;;32.65092387;;97649.57708;;316869.137;20.58948208;4.433583522;16.69949879;;19131.36249;25.62651173;3.131573785;;6.87E+10;;3.02E+11;3.87E+11;1854.445501;8.03E+10;;;;8.46E+10;8.87E+10;3.68E+11;;;;2.25E+11;7.00E+10;;;;;;;;;;;;;10803.38283;;;;;;;;;;;
Middle income;2015;;;;;5.03E+11;;;;;;;33.26731859;;1861041.08;;3292862.117;31.33016076;5.096676533;14.49470915;;4919947.928;15.81065135;2.410581919;;4.96E+11;;2.17E+12;2.90E+12;776.7505936;4.08E+11;;2.81E+12;7.20E+11;7.33E+11;7.02E+11;2.88E+12;;;;1.76E+12;4.73E+11;1.01E+12;;;;;;;;;;;;3771253.569;;;;;;;1.12E+12;;;;
North America;2015;;;;;;;;;;;;41.21946903;;985238.6901;;2300485.116;15.32001965;1.413029861;12.66079528;;1781890.748;29.38688503;2.497857095;;4.77E+11;;4.19E+12;5.29E+12;19679.24229;8.70E+11;;5.25E+12;1.24E+12;1.10E+12;1.21E+12;5.43E+12;;4.94E+12;;3.32E+12;6.17E+11;;;;;;;;;;;;;-72724.13212;;;;;;;;;;;
Not classified;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OECD members;2015;;;;;;;;;;;;39.96394135;;1695595.221;;4974569.411;18.11698299;2.193207858;15.84767427;;4042014.92;23.87452942;2.523489942;;2.29E+12;;1.08E+13;1.42E+13;13131.73267;2.45E+12;;1.42E+13;3.55E+12;3.36E+12;3.49E+12;1.43E+13;;1.33E+13;;8.34E+12;2.36E+12;;;;;;;;;;;;;281287.0534;;;;;;;;;;;
Other small states;2015;;;;;;;;;;;;60.66083027;;29768.73078;;22116.03879;19.17537419;1.75091782;2.62637673;;;15.87122282;2.171698777;;;;;3.87E+10;2346.805366;;;3.80E+10;;;;;;;;;;;;;;;;;;;;;;51304.00137;;;;;;;;;;;
Pacific island small states;2015;;;;;;;;;;;;;;;;1274.797196;;;;;;;;;7.96E+08;;1.91E+09;1.99E+09;1175.16503;;;2.08E+09;3.73E+08;7.89E+07;3.69E+08;2.29E+09;;2.02E+09;;1.46E+09;1.08E+09;3.35E+08;1.88E+08;;;;;;;;;;;527.0600327;;;;;;;;;;;
Post-demographic dividend;2015;;;;;;;;;;;;39.6719259;;1801203.537;;4831854.391;17.99419788;2.326649023;15.5865228;;3867174.444;24.41663274;2.486411929;;2.33E+12;;1.06E+13;1.39E+13;14701.65953;2.43E+12;;1.40E+13;3.51E+12;3.32E+12;3.45E+12;1.41E+13;;1.31E+13;;8.17E+12;2.40E+12;;;;;;;;;;;;;-50803.92245;;;;;;;;;;;
Pre-demographic dividend;2015;;;;;5.44E+10;;;;;;;27.59379786;;13175.37858;;109152.4355;14.70137825;3.455206738;13.59111792;;;40.66807044;1.041239806;;4.73E+10;;1.73E+11;2.27E+11;587.0723545;3.70E+10;;2.17E+11;6.19E+10;5.40E+10;6.23E+10;2.34E+11;;2.27E+11;;1.30E+11;5.44E+10;7.16E+10;3.00E+10;;;;;;;;;;;1640640.05;;;;;;;1.05E+11;;;;
Small states;2015;;;;;;;;;;;;58.31218274;;42922.8301;;37148.86692;19.37394247;2.009306261;2.834179357;;;17.51269036;2.492183154;;;;;5.63E+10;2336.584879;;;5.45E+10;;;;;;;;;;;;;;;;;;;;;;71483.41192;;;;;;;;;;;
South Asia;2015;;;;;9.83E+10;;;;;;;40.49517582;;37427.99154;;164670.302;30.15708476;3.945060203;10.81452835;;330880.0648;14.5861574;1.726414777;;2.39E+10;;2.94E+11;3.49E+11;326.9876399;3.97E+10;;3.47E+11;8.69E+10;5.47E+10;8.19E+10;3.82E+11;;3.18E+11;;2.54E+11;3.27E+10;8.94E+10;5.51E+10;;;;;;;;;;;15285.19539;;;;;;;1.35E+11;;;;
South Asia (IDA & IBRD);2015;;;;;9.83E+10;;;;;;;40.49517582;;37427.99154;;164670.302;30.15708476;3.945060203;10.81452835;;330880.0648;14.5861574;1.726414777;;2.39E+10;;2.94E+11;3.49E+11;326.9876399;3.97E+10;;3.47E+11;8.69E+10;5.47E+10;8.19E+10;3.82E+11;;3.18E+11;;2.54E+11;3.27E+10;8.94E+10;5.51E+10;;;;;;;;;;;15285.19539;;;;;;;1.35E+11;;;;
Sub-Saharan Africa;2015;;;;;5.88E+10;;;;;;;50.76027074;;;;126135.9233;22.53108768;2.581457579;5.824020148;;436203.2847;18.30001574;1.751811367;;6.84E+10;;2.14E+11;2.97E+11;625.3745514;3.87E+10;;2.81E+11;7.07E+10;8.28E+10;7.19E+10;2.84E+11;;2.80E+11;;1.76E+11;6.10E+10;8.77E+10;4.69E+10;;;;;;;;;;;1643816.372;;;;;;;1.32E+11;;;;
Sub-Saharan Africa (excluding high income);2015;;;;;5.88E+10;;;;;;;50.76027074;;;;125933.4908;22.53108768;2.581457579;5.824020148;;435869.2925;18.30001574;1.751811367;;6.84E+10;;2.14E+11;2.97E+11;624.9079173;3.86E+10;;2.81E+11;7.07E+10;8.28E+10;7.18E+10;2.84E+11;;2.80E+11;;1.76E+11;6.09E+10;8.77E+10;4.69E+10;;;;;;;;;;;1643778.24;;;;;;;1.32E+11;;;;
Sub-Saharan Africa (IDA & IBRD countries);2015;;;;;5.88E+10;;;;;;;50.76027074;;;;126135.9233;22.53108768;2.581457579;5.824020148;;436203.2847;18.30001574;1.751811367;;6.84E+10;;2.14E+11;2.97E+11;625.3745514;3.87E+10;;2.81E+11;7.07E+10;8.28E+10;7.19E+10;2.84E+11;;2.80E+11;;1.76E+11;6.10E+10;8.77E+10;4.69E+10;;;;;;;;;;;1643816.372;;;;;;;1.32E+11;;;;
Upper middle income;2015;;;;;2.86E+11;;;;;;;32.49646679;;1389506.115;;2585499.789;32.93532853;5.501133538;14.77253249;;4104658.736;14.29518546;2.729445466;;3.70E+11;;1.46E+12;1.99E+12;988.4585706;2.83E+11;;1.93E+12;4.99E+11;5.27E+11;4.70E+11;1.96E+12;;;;1.18E+12;3.34E+11;7.49E+11;;;;;;;;;;;;1572865.639;;;;;;;7.47E+11;;;;
World;2015;;;;;9.58E+11;;;;;;;38.27875578;;3690359.639;;8414443.11;22.28852293;3.268736161;14.92587849;;9317954.159;21.23587129;2.497271688;;3.03E+12;;1.32E+13;1.74E+13;3457.794369;2.94E+12;;1.73E+13;4.34E+12;4.15E+12;4.28E+12;1.75E+13;;1.89E+13;;1.03E+13;3.07E+12;;;;;;;;;;;;;5402367.963;;;;;;;;;;;
Afghanistan;2016;63.60143663;;73.93838925;;;;;;;;;;12.55868545;392.369;64.55399061;2016.85;;;;14.20187793;443.707;;;13.3227095;;;;;;;;;;;;;;;;;;;;;;;;;;;3.858829956;;;-119.1234045;;;;;;;;;;;
Albania;2016;58.34610283;;68.195119;;;-8.56E+07;;;;;;17.26519337;6.0591133;451.041;37.93103448;2823.59;37.70718232;28.17679558;2.348066298;50.19704433;3736.673;14.50276243;2.618590986;34.67582426;3.34E+08;-2074975;1.55E+09;2.08E+09;674.7933831;2.08E+08;;2.08E+09;6.13E+08;5.35E+08;6.98E+08;2.16E+09;5.42E+08;;;1.34E+09;3.36E+08;;;;;;400000;7.58E+07;;;3.090415505;;;239.3414258;;;;;;;;;;;
Algeria;2016;11.39925106;;58.96812892;;;-1.42E+09;;;;;;47.89898132;47.72885789;40149.983;29.85178727;25111.616;12.45755518;0.212224109;12.54244482;3.530950305;2970.27;26.86757216;4.249970533;79.90632192;9.53E+09;-2.76E+09;5.11E+10;6.67E+10;2829.879469;1.30E+10;;6.48E+10;1.84E+10;1.56E+10;1.98E+10;6.95E+10;1.42E+10;;;3.81E+10;1.23E+10;;;;;;-1.90E+09;5.17E+08;;;6.821027035;;;3510.170703;;;;;;;;;;;
American Samoa;2016;41.26560229;;92.49751;;;;;;;;;;;;;;;;;;;;;0.012806763;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02195484;;;1.33E-15;;;;;;;;;;;
Andorra;2016;;;0;;;;;;;;;;;;;;;;;;;;;;;;;6.11E+08;12833.00404;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
Angola;2016;60.78612308;;88.16681854;;;0;;;;;;12.28070175;5.107187894;297.027;50.31525851;2926.266;29.12280702;2.456140351;19.64912281;0;0;36.49122807;1.125015693;33.71108755;;;;8.08E+09;755.9724447;;;6.68E+09;0;;0;;;;;;;;;;;;0;;;;0.744517572;;;-2394.978779;;;;;;;;;;;
Antigua and Barbuda;2016;70.1961992;;65.06188448;;6436933.333;;;;;;;;0;0;100;275.025;;;;0;0;;;2.801572981;;;;3.37E+08;5239.458329;;;2.97E+08;;;;;;2.91E+08;;;;4.65E+07;8821162.222;;;;-4.00E+07;4833333.333;;;9.340794801;;;75.31402073;;;;;;;2.42E+08;;4.67E+07;;
Argentina;2016;76.91359375;;81.76955077;;8.81E+09;0;;;;;;33.90685257;31.95405966;36728.672;57.86249801;66508.379;15.63334322;5.191337882;16.28596856;3.289200829;3780.677;29.0022743;2.484130568;12.43238032;8.57E+09;3.24E+08;8.72E+10;1.09E+11;3485.690232;5.13E+09;;1.04E+11;2.13E+10;2.16E+10;2.13E+10;1.08E+11;1.65E+10;1.09E+11;;8.21E+10;8.24E+09;4.12E+10;2.99E+10;;;;-5.06E+09;;;;2.604512087;;;16165.09035;;;;;;;5.88E+10;;0;;
Armenia;2016;77.39002806;;79.72915956;;;;;;;;;;;;;;;;;;;;;3.844475571;;;;;;;;;;;;;;;;;;;;;;;;;;;2.201319364;;;-6326.486987;;;;;;;;;;;
Aruba;2016;5.598735222;;7.886370253;;;;;;;;;;0;0;100;447.374;;;;0;0;;;9.624936167;;;;4.88E+08;7567.253642;;;4.73E+08;;;;;;;;;;;;;;;-1.44E+07;446927.3743;;;23.37865977;;;143.9411145;;;;;;;;;;;
Australia;2016;63.75022236;;80.64388224;;;-1.10E+09;;;;;;53.334196;11.32143011;28994.969;29.83634255;76412.946;17.17132505;1.46652864;3.364389234;57.59797254;147512.409;24.66356108;3.299609265;23.90226227;2.93E+10;-3.02E+09;1.43E+11;1.89E+11;11650.84187;3.67E+10;;1.86E+11;5.18E+10;4.60E+10;5.29E+10;1.95E+11;;;;1.07E+11;3.23E+10;;;;;;-3.44E+09;3.12E+08;;;3.8129486;;;9421.270891;;;;;;;;;;;
Austria;2016;50.93429755;;53.34099352;;3.97E+09;-1.93E+07;;;;;;25.77319588;16.69524354;9640.543;53.74992062;31037.488;20.17945781;3.837342497;27.89232532;25.64933003;14811.013;22.3176785;2.401269668;20.94807494;3.90E+10;-5.13E+07;9.38E+10;1.24E+11;16392.76952;2.33E+10;;1.24E+11;2.99E+10;3.04E+10;3.00E+10;1.24E+11;;1.10E+11;;7.05E+10;3.90E+10;3.69E+10;2.41E+10;;;;-2.89E+08;-6.49E+08;;;9.176616119;;;1463.340625;;;;;;;6.90E+10;;1.43E+10;;
Azerbaijan;2016;38.25347958;;84.23390896;;;;;;;;;;;;;;;;;;;;;49.91010825;;;;;;;;;;;;;;;;;;;;;;;;;;;1.990147255;;;-20652.62349;;;;;;;;;;;
Bahamas, The;2016;3.585955584;;13.17585369;;4.96E+07;2000000;;;;;;;0;0;100;1422.796;;;;0;0;;;8.646585706;1.66E+09;1.50E+08;2.05E+09;2.71E+09;10617.40527;3.26E+08;;2.53E+09;5.10E+08;6.60E+08;5.08E+08;2.56E+09;4.75E+08;2.38E+09;;1.73E+09;1.51E+09;;;;;;-1.83E+08;;;;24.33778649;;;829.9929267;;;;;;;1.98E+09;;3.35E+08;;
